Offering,Pricing Date,Price,Symbol,Deal Type,Bookrunner
Uipath,2021-04-20,$56.00,PATH,IPO,"Morgan Stanley, JP Morgan Credit Suisse, Truist Securities"
TuSimple,2021-04-15,$40.00,TSP,IPO,"Morgan Stanley, Citigroup, JP Morgan Credit Suisse"
Applovin,2021-04-14,$80.00,APP,IPO,"Morgan Stanley, JP Morgan, KKR, BofA Merrill Lynch, Citigroup, Credit Suisse, UBS Credit Suisse, KKR, Truist Securities"
Reneo Pharmaceuticals,2021-04-08,$15.00,RPHM,IPO,"Jeffries, SVB Leerink, Piper Sandler Jeffries"
NetSTREIT,2021-04-07,$18.65,NTST,ADD-ON,"Wells Fargo, BofA Merrill Lynch, Jeffries, Stifel Truist Securities"
Humanigen,2021-03-30,$18.50,HGEN,ADD-ON,"Jeffries, Credit Suisse, Cantor Fitzgerald Credit Suisse"
Ikena Oncology,2021-03-25,$16.00,IKNA,IPO,"Jeffries, Cowen and Company, Credit Suisse, William Blair Credit Suisse"
Zhihu,2021-03-25,$9.50,ZH,IPO,"Credit Suisse, Goldman Sachs, JP Morgan Credit Suisse"
Diversey Holdings,2021-03-24,$15.00,DSEY,IPO,"Citigroup, Morgan Stanley, Barclays, JP Morgan Credit Suisse"
Array Technologies,2021-03-18,$28.00,ARRY,ADD-ON,"Goldman Sachs, JP Morgan, Guggenheim Securities Credit Suisse"
MediaAlpha,2021-03-18,$46.00,MAX,ADD-ON,"JP Morgan, Citigroup, Credit Suisse, RBC Capital Markets Credit Suisse"
Duckhorn Portfolio,2021-03-17,$15.00,NAPA,IPO,"JP Morgan, Credit Suisse Credit Suisse"
Paya Holdings,2021-03-17,$12.25,PAYA,ADD-ON,"Morgan Stanley, Credit Suisse Credit Suisse"
Sotera Health Company,2021-03-17,$27.00,SHC,ADD-ON,"JP Morgan, Credit Suisse, Goldman Sachs, Jeffries Credit Suisse"
Vine Energy,2021-03-17,$14.00,VEI,IPO,"Citigroup, Credit Suisse, Morgan Stanley Credit Suisse"
Hayward Holdings,2021-03-11,$17.00,HAYW,IPO,"BofA Merrill Lynch, Goldman Sachs, Nomura Credit Suisse"
Joann,2021-03-11,$12.00,JOAN,IPO,"BofA Merrill Lynch, Credit Suisse Credit Suisse"
Prometheus Biosciences,2021-03-11,$19.00,RXDX,IPO,"SVB Leerink, Credit Suisse, Stifel, Guggenheim Securities Credit Suisse"
Cactus,2021-03-09,$31.50,WHD,ADD-ON,"Citigroup, Credit Suisse Credit Suisse"
SelectQuote,2021-03-03,$27.50,SLQT,ADD-ON,"Credit Suisse, Morgan Stanley Credit Suisse"
Oscar Health,2021-03-02,$39.00,OSCR,IPO,"Goldman Sachs, Morgan Stanley, Allen & Company LLC, Wells Fargo Credit Suisse"
Gates Industrial Corporation,2021-02-25,$15.00,GTES,ADD-ON,"Citigroup, Evercore ISI Citigroup"
Score Media and Gaming,2021-02-24,$27.00,SCR,IPO,"Morgan Stanley, Credit Suisse, Canaccord Genuity, Macquarie Capital Credit Suisse"
Freshpet,2021-02-23,$143.00,FRPT,ADD-ON,"BofA Merrill Lynch, Baird, Truist Securities Truist Securities"
Sitime Corporation,2021-02-17,$127.00,SITM,ADD-ON,"Barclays, Credit Suisse, Stifel Credit Suisse"
loanDepot,2021-02-11,$14.00,LDI,IPO,"Goldman Sachs, BofA Merrill Lynch, Credit Suisse, Morgan Stanley Credit Suisse"
Allegro Microsystems,2021-02-04,$30.30,ALGM,ADD-ON,"Barclays, Credit Suisse, Wells Fargo Credit Suisse"
Atotech,2021-02-03,$17.00,ATC,IPO,"Credit Suisse, Citigroup Credit Suisse"
Arcutis Biotherapeutics,2021-02-02,$35.00,ARQT,ADD-ON,"Morgan Stanley, Cowen and Company, Guggenheim Securities Truist Securities"
TELUS International,2021-02-02,$25.00,TIXT,IPO,"JP Morgan, Morgan Stanley Credit Suisse"
Home Point Capital,2021-01-29,$13.00,HMPT,IPO,"Goldman Sachs, Wells Fargo, Morgan Stanley, UBS Credit Suisse"
Academy Sports and Outdoors,2021-01-27,$21.50,ASO,ADD-ON,"Credit Suisse, JP Morgan, KKR, BofA Merrill Lynch KKR, CS"
Ortho Clinical Diagnostics,2021-01-27,$17.00,OCDX,IPO,"JP Morgan, BofA Merrill Lynch, Goldman Sachs, Barclays, Morgan Stanley, Citigroup, Credit Suisse, UBS, Evercore ISI, Piper Sandler Credit Suisse"
Vinci Partners Investments,2021-01-27,$18.00,VINP,IPO,"JP Morgan, Goldman Sachs, BTP Pactual, Credit Suisse, Itau BBA, BofA Merrill Lynch, UBS Credit Suisse"
ZIM Integrated Shipping Services,2021-01-27,$15.00,ZIM,IPO,"Citigroup, Goldman Sachs, Barclays, Credit Suisse, Jeffries, Clarksons Platou Securities Credit Suisse"
Shoals Technologies Group,2021-01-26,$25.00,SHLS,IPO,"Goldman Sachs, JP Morgan, Guggenheim Securities, UBS Credit Suisse"
The AZEK Company,2021-01-21,$40.00,AZEK,ADD-ON,"Barclays, BofA Merrill Lynch, Goldman Sachs, Jeffries Credit Suisse"
Corsair Gaming,2021-01-21,$35.00,CRSR,ADD-ON,"Goldman Sachs, Barclays, Credit Suisse Credit Suisse"
Patria Investments Limited,2021-01-21,$17.00,PAX,IPO,"JP Morgan, BofA Merrill Lynch, Credit Suisse Credit Suisse"
MyTheresa,2021-01-20,$26.00,MYTE,IPO,"Morgan Stanley, JP Morgan, Credit Suisse, UBS Credit Suisse"
Editas Medicine,2021-01-20,$66.00,EDIT,ADD-ON,"JP Morgan, Morgan Stanley, Cowen and Company, Credit Suisse Credit Suisse"
American Well,2021-01-14,$27.50,AMWL,ADD-ON,"Morgan Stanley, Goldman Sachs, Piper Sandler, UBS Credit Suisse"
Driven Brands Holdings,2021-01-14,$22.00,DRVN,IPO,"Morgan Stanley, BofA Merrill Lynch, Goldman Sachs, JP Morgan, Barclays Credit Suisse"
Playtika Holding Corporation,2021-01-14,$27.00,PLTK,IPO,"Credit Suisse, Morgan Stanley Credit Suisse"
PETCO HEALTH AND WELLNESS,2021-01-13,$18.00,WOOF,IPO,"Goldman Sachs, BofA Merrill Lynch, Citigroup, Evercore ISI, Credit Suisse, UBS, Wells Fargo, Baird, Guggenheim Securities Credit Suisse"
Repay Holdings Corporation,2021-01-13,$24.00,RPAY,ADD-ON,"Credit Suisse, Barclays Credit Suisse"
Vontier Corporation,2021-01-13,$33.50,VNT,ADD-ON,"Goldman Sachs, Citigroup, Evercore ISI Credit Suisse"
Motorsport Gaming,2021-01-12,$20.00,MSGM,IPO,"Canaccord Genuity, The Benchmark Company Canaccord Genuity"
AdaptHealth,2021-01-05,$33.00,AHCO,ADD-ON,"Deutsche Bank, Jeffries Truist Securities"
BioAtla,2020-12-15,$18.00,BCAB,IPO,"JP Morgan, Jeffries, Credit Suisse Credit Suisse"
ContextLogic,2020-12-15,$24.00,WISH,IPO,"Goldman Sachs, JP Morgan, BofA Merrill Lynch Credit Suisse"
Airbnb,2020-12-10,$68.00,ABNB,IPO,"Morgan Stanley, Goldman Sachs, Allen & Company LLC, BofA Merrill Lynch, Barclays, Citigroup, Credit Suisse, BNP Paribas, Mizuho Securities, Deutsche Bank, Jeffries, Wells Fargo Credit Suisse"
Certara,2020-12-10,$23.00,CERT,IPO,"Jeffries, Morgan Stanley, BofA Merrill Lynch, Credit Suisse, Barclays, William Blair Credit Suisse"
Forma Therapeutics,2020-12-10,$45.25,FMTX,ADD-ON,"JP Morgan, Morgan Stanley Credit Suisse"
ALX Oncology Holdings,2020-12-09,$76.00,ALXO,ADD-ON,"Jeffries, Credit Suisse, Piper Sandler Credit Suisse"
Atara Biotherapeutics,2020-12-08,$24.50,ATRA,ADD-ON,"Citigroup, Evercore ISI, Mizuho Securities Citigroup"
Kura Oncology,2020-12-08,$37.00,KURA,ADD-ON,"SVB Leerink, Credit Suisse, Barclays, Stifel Credit Suisse"
XPeng,2020-12-08,$45.00,XPEV,ADD-ON,"Credit Suisse, JP Morgan, BofA Merrill Lynch, Citigroup Credit Suisse"
Array Technologies,2020-12-02,$35.00,ARRY,ADD-ON,"Goldman Sachs, JP Morgan, Guggenheim Securities Credit Suisse"
Shift4 Payments,2020-12-02,$55.50,FOUR,ADD-ON,"Goldman Sachs, Credit Suisse, Citigroup Credit Suisse"
ZoomInfo Technologies,2020-12-01,$45.00,ZI,ADD-ON,"JP Morgan, Morgan Stanley Credit Suisse"
Elanco Animal Health,2020-11-30,$30.25,ELAN,ADD-ON,"BofA Merrill Lynch, Goldman Sachs Credit Suisse"
Maravai Life Sciences,2020-11-19,$27.00,MRVI,IPO,"Morgan Stanley, Jeffries, Goldman Sachs Credit Suisse"
Sotera Health,2020-11-19,$23.00,SHC,IPO,"JP Morgan, Credit Suisse, Goldman Sachs, Jeffries Credit Suisse"
Stoke Therapeutics,2020-11-19,$39.00,STOK,ADD-ON,"JP Morgan, Cowen and Company, Credit Suisse Credit Suisse"
NeoGames,2020-11-18,$17.00,NGMS,IPO,Stifel Truist Securities
Simon Property Group,2020-11-18,$72.50,SPG,ADD-ON,"BofA Merrill Lynch, Citigroup Truist Securities"
Resideo Technologies,2020-11-17,$15.00,REZI,ADD-ON,"Morgan Stanley, Evercore ISI, JP Morgan, BofA Merrill Lynch, KeyBanc Capital Markets KeyBanc Capital Markets"
Allegro MicroSystems,2020-10-28,$14.00,ALGM,IPO,"Barclays, Credit Suisse, Wells Fargo Credit Suisse"
Galecto,2020-10-28,$15.00,GLTO,IPO,"BofA Merrill Lynch, SVB Leerink, Credit Suisse Credit Suisse"
Leslieâ€™s,2020-10-28,$17.00,LESL,IPO,"Goldman Sachs, Morgan Stanley, BofA Merrill Lynch Guggenheim Securities"
Scholar Rock Holding,2020-10-28,$39.00,SRRK,ADD-ON,"JP Morgan, Jeffries, Credit Suisse Credit Suisse"
MediaAlpha,2020-10-27,$19.00,MAX,IPO,"JP Morgan, Citigroup, Credit Suisse, RBC Capital Markets Credit Suisse"
Root,2020-10-27,$27.00,ROOT,IPO,"Goldman Sachs, Morgan Stanley, Barclays, Wells Fargo Credit Suisse"
Turning Point Therapeutics,2020-10-26,$87.00,TPTX,ADD-ON,"Goldman Sachs, SVB Leerink, Guggenheim Securities Guggenheim Securities"
Accolade,2020-10-21,$38.50,ACCD,ADD-ON,"Goldman Sachs, Morgan Stanley, BofA Merrill Lynch, Piper Sandler, Credit Suisse, William Blair Credit Suisse"
Datto Holding,2020-10-21,$27.00,MSP,IPO,"Morgan Stanley, BofA Merrill Lynch, Barclays, Credit Suisse Credit Suisse"
Praxis Precision Medicines,2020-10-15,$19.00,PRAX,IPO,"Cowen and Company, Evercore ISI, Piper Sandler Cowen and Company"
Array Technologies,2020-10-14,$22.00,ARRY,IPO,"Goldman Sachs, JP Morgan, Guggenheim Securities Credit Suisse"
Americold Realty Trust,2020-10-13,$38.00,COLD,ADD-ON,"Citigroup, BofA Merrill Lynch, Goldman Sachs Truist Securities"
iHuman,2020-10-08,$12.00,IH,IPO,"Credit Suisse, Citigroup Credit Suisse"
Spruce Biosciences,2020-10-08,$15.00,SPRB,IPO,"Cowan and Company, SVB Leerink, Credit Suisse, RBC Capital Markets Credit Suisse"
fuboTV,2020-10-07,$10.00,FUBO,ADD-ON,Evercore ISI Evercore ISI
nCino,2020-10-07,$72.00,NCNO,ADD-ON,"BofA Merrill Lynch, Barclays, KeyBanc Capital Markets, Truist Securities Truist Securities"
DraftKings,2020-10-06,$52.00,DKNG,ADD-ON,"Credit Suisse, Goldman Sachs Credit Suisse"
Academy Sports & Outdoors,2020-10-01,$13.00,ASO,IPO,"Credit Suisse, JP Morgan, KKR, BofA Merrill Lynch KKR"
Immunome,2020-10-01,$12.00,IMNM,IPO,"Ladenburg Thalmann, Chardan Ladenburg Thalmann"
Oncorus,2020-10-01,$15.00,ONCR,IPO,"Jeffries, Evercore ISI, Piper Sandler Jeffries"
International Money Express,2020-09-30,$13.50,IMXI,ADD-ON,"Credit Suisse, BTIG Credit Suisse"
Sun Communities,2020-09-30,$139.50,SUI,ADD-ON,"Citigroup, BofA Merrill Lynch BMO Capital Markets"
Graybug Vision,2020-09-24,$16.00,GRAY,IPO,"SVB Leerink, Piper Sandler SVB Leerink"
PENN NATIONAL GAMING,2020-09-24,$61.00,PENN,ADD-ON,"Goldman Sachs, BofA Merrill Lynch, JP Morgan Truist Securities"
GoodRx Holdings,2020-09-23,$33.00,GDRX,IPO,"Morgan Stanley, Goldman Sachs, JP Morgan, Barclays Credit Suisse"
Kingsoft Cloud Holdings,2020-09-23,$31.00,KC,ADD-ON,"JP Morgan, Credit Suisse, UBS, CICC, Goldman Sachs Credit Suisse"
Corsair Gaming,2020-09-22,$17.00,CRSR,IPO,"Goldman Sachs, Barclays, Credit Suisse Credit Suisse"
Laird Superfood,2020-09-22,$22.00,LSF,IPO,"Canaccord Genuity, Craig-Hallum Capital Group Canaccord Genuity"
OneWater Marine,2020-09-17,$20.00,ONEW,ADD-ON,"Truist Securities, Baird, Raymond James Truist Securities"
Unity Software,2020-09-17,$52.00,U,IPO,"Goldman Sachs, Credit Suisse Credit Suisse"
Vitru,2020-09-17,$16.00,VTRU,IPO,"Goldman Sachs, BofA Merrill Lynch, Itau BBA, Morgan Stanley Credit Suisse"
American Well Corporation,2020-09-16,$18.00,AMWL,IPO,"Morgan Stanley, Goldman Sachs, Piper Sandler Credit Suisse"
Broadstone Net Lease,2020-09-16,$17.00,BNL,IPO,"JP Morgan, Goldman Sachs, BMO Capital Markets, Morgan Stanley KeyBanc Capital Markets"
Forterra,2020-09-16,$13.50,FRTA,ADD-ON,"Credit Suisse, BofA Merrill Lynch, Citigroup Credit Suisse"
Pactiv Evergreen,2020-09-16,$14.00,PTVE,IPO,"Credit Suisse, Citigroup Credit Suisse"
Metacrine,2020-09-15,$13.00,MTCR,IPO,"Jeffries, Evercore ISI, RBC Capital Markets Jeffries"
Snowflake,2020-09-15,$120.00,SNOW,IPO,"Goldman Sachs, Morgan Stanley, JP Morgan, Citigroup, Allen & Company LLC, Credit Suisse, Barclays, Deutsche Bank, Mizuho Securities, Truist Securities Credit Suisse"
The AZEK Company,2020-09-10,$33.25,AZEK,ADD-ON,"Barclays, BofA Merrill Lynch, Goldman Sachs, Jeffries Credit Suisse"
Lightspeed POS,2020-09-10,$30.50,LSPD,IPO,"Morgan Stanley, Barclays, BMO Capital Markets KeyBanc Capital Markets"
Shift4 Payments,2020-09-10,$48.50,FOUR,ADD-ON,"Goldman Sachs, Credit Suisse, Citigroup Credit Suisse"
Athenex,2020-09-09,$11.00,ATNX,ADD-ON,"SVB Leerink, RBC Capital Markets, Evercore ISI SVB Leerink"
XPeng,2020-08-26,$15.00,XPEV,IPO,"Credit Suisse, JP Morgan, BofA Merrill Lynch Credit Suisse"
21Vianet Group,2020-08-25,$20.75,VNET,ADD-ON,"Credit Suisse, Morgan Stanley, Jeffries Credit Suisse"
ZoomInfo Technologies,2020-08-19,$37.00,ZI,ADD-ON,"JP Morgan, Morgan Stanley, Barclays, Credit Suisse Credit Suisse"
Futu Holdings,2020-08-18,$33.00,FUTU,ADD-ON,"Goldman Sachs, Credit Suisse, UBS, Haitong International Credit Suisse"
Inhibrx,2020-08-18,$17.00,INBX,IPO,"Jeffries, Evercore ISI, Credit Suisse Credit Suisse"
CureVac B.V.,2020-08-13,$16.00,CVAC,IPO,"BofA Merrill Lynch, Jeffries, Credit Suisse Credit Suisse"
NetSTREIT,2020-08-13,$18.00,NTST,IPO,"Wells Fargo, BofA Merrill Lynch, Citigroup, Stifel, Jeffries Truist Securities"
TFI International,2020-08-12,$43.25,TFII,ADD-ON,"Morgan Stanley, Credit Suisse, BofA Merrill Lynch, JP Morgan, Goldman Sachs Credit Suisse"
Upland Software,2020-08-11,$34.00,UPLD,ADD-ON,Credit Suisse Credit Suisse
Rocket Companies,2020-08-05,$18.00,RKT,IPO,"Goldman Sachs, Morgan Stanley, Credit Suisse, JP Morgan, RBC Capital Markets Credit Suisse"
Virgin Galactic Holdings,2020-08-05,$19.50,SPCE,ADD-ON,"Credit Suisse, Morgan Stanley Credit Suisse"
Rackspace Technology,2020-08-04,$21.00,RXT,IPO,"Goldman Sachs, Citigroup, JP Morgan, RBC Capital Markets Credit Suisse"
Vital Farms,2020-07-30,$22.00,VITL,IPO,"Goldman Sachs, Morgan Stanley, Credit Suisse Credit Suisse"
ALX Oncology Holdings,2020-07-16,$19.00,ALXO,IPO,"Jeffries, Credit Suisse, Piper Sandler, Cantor Fitzgerald Credit Suisse"
HeadHunter Group,2020-07-15,$20.25,HHR,ADD-ON,"Goldman Sachs, Morgan Stanley, Credit Suisse, VTB Capital Credit Suisse"
GoHealth,2020-07-14,$21.00,GOCO,IPO,"Goldman Sachs, BofA Merrill Lynch, Morgan Stanley Credit Suisse"
Centogene,2020-07-09,$14.00,CNTG,ADD-ON,"Credit Suisse, SVB Leerink Credit Suisse"
Inventiva,2020-07-09,$14.40,IVA,IPO,"Jeffries, Stifel, , Guggenheim Securities Jeffries"
Nkarta,2020-07-09,$18.00,NKTX,IPO,"Cowen and Company, Evercore ISI, Stifel, Mizuho Securities Cowen and Company"
Ping Identity Holding,2020-07-08,$32.00,PING,ADD-ON,"Goldman Sachs, BofA Merrill Lynch, RBC Capital Markets, Citigroup Credit Suisse"
Accolade,2020-07-01,$22.00,ACCD,IPO,"Goldman Sachs, Morgan Stanley, BofA Merrill Lynch, Piper Sandler, Credit Suisse, William Blair Credit Suisse"
XP,2020-07-01,$42.50,XP,ADD-ON,"XP Investimentos, Morgan Stanley, Goldman Sachs, JP Morgan Credit Suisse"
Acceleron Pharma,2020-06-30,$92.50,XLRN,ADD-ON,"Goldman Sachs, Citigroup, BofA Merrill Lynch, JP Morgan Credit Suisse"
Dun & Bradstreet Holdings,2020-06-30,$22.00,DNB,IPO,"Goldman Sachs, BofA Merrill Lynch Credit Suisse"
TravelCenters of America,2020-06-30,$14.00,TA,ADD-ON,"Citigroup, BMO Capital Markets, B. Riley, BTIG BMO Capital Markets"
Albertsons Companies,2020-06-25,$16.00,ACI,IPO,"BofA Merrill Lynch, Goldman Sachs, JP Morgan, Citigroup Credit Suisse"
PG&E Corporation,2020-06-25,$9.50,PCG,ADD-ON,"Goldman Sachs, JP Morgan Credit Suisse"
PolyPid,2020-06-25,$16.00,PYPD,IPO,"Barclays, BMO Capital Markets BMO Capital Markets"
1Life Healthcare,2020-06-24,$31.00,ONEM,ADD-ON,"JP Morgan, Morgan Stanley Credit Suisse"
DraftKings,2020-06-18,$40.00,DKNG,ADD-ON,"Goldman Sachs, Credit Suisse Credit Suisse"
Forma Therapeutics,2020-06-18,$20.00,FMTX,IPO,"Jeffries, SVB Leerink, Credit Suisse Credit Suisse"
Genetron Holdings,2020-06-18,$16.00,GTH,IPO,"Credit Suisse, CICC Credit Suisse"
Eldorado Resorts,2020-06-16,$39.00,ERI,ADD-ON,"JP Morgan, Credit Suisse, Deutsche Bank, BofA Merrill Lynch Credit Suisse"
VICI Properties,2020-06-16,$22.15,VICI,ADD-ON,"Morgan Stanley, BofA Merrill Lynch, Deutsche Bank, Goldman Sachs Credit Suisse"
Royalty Pharma,2020-06-15,$28.00,RPRX,IPO,"JP Morgan, Morgan Stanley, BofA Merrill Lynch, Goldman Sachs, Citigroup, UBS, Evercore, Cowen and Company, SunTrust Robinson Humphrey SunTrust Robinson Humphrey"
Avidity Biosciences,2020-06-11,$18.00,RNA,IPO,"Cowen and Company, SVB Leerink, Credit Suisse, Wells Fargo Credit Suisse"
The AZEK Company,2020-06-11,$23.00,AZEK,IPO,"Barclays, Bofa Merrill Lynch, Goldman Sachs, Jefferies Credit Suisse"
ONEOK,2020-06-11,$32.00,OKE,ADD-ON,"Barclays, JP Morgan, Citigroup Credit Suisse"
"NIO, Inc.",2020-06-10,$5.95,NIO,ADD-ON,"Morgan Stanley, Credit Suisse, CICC Credit Suisse"
Shift4 Payments,2020-06-04,$23.00,FOUR,IPO,"Citigroup, Credit Suisse, Goldman Sachs Credit Suisse"
Warner Music Group,2020-06-03,$25.00,WMG,IPO,"Morgan Stanley, Credit Suisse, Goldman Sachs, Bofa Merrill Lynch, Citigroup, JP Morgan Credit Suisse"
ZoomInfo Technologies,2020-06-03,$21.00,ZI,IPO,"JP Moran, Morgan Stanley, Barclays, Credit Suisse, Bofa Merrill Lynch, Deutsche Bank, RBC Capital Markets, UBS, Wells Fargo Credit Suisse"
Repay Holdings Corporation,2020-05-28,$20.00,RPAY,ADD-ON,"Morgan Stanley, Credit Suisse, Barclays Credit Suisse"
SelectQuote,2020-05-20,$20.00,SLQT,IPO,"Credit Suisse, Morgan Stanley, Evercore, Citigroup Credit Suisse"
RealPage,2020-05-19,$59.00,RP,ADD-ON,"Goldman Sachs, Bofa Merrill Lynch, Wells Fargo KeyBanc Capital Markets"
Ping Identity Holding,2020-05-13,$24.00,PING,ADD-ON,"Goldman Sachs, Bofa Merrill Lynch, RBC Capital Markets, Citigroup, Credit Suisse Credit Suisse"
BlackRock,2020-05-12,$420.00,BLK,ADD-ON,"Morgan Stanley, Citigroup, Evercore Credit Suisse"
MyoKardia,2020-05-12,$105.00,MYOK,ADD-ON,"Credit Suisse, Bofa Merrill Lynch, JP Morgan Credit Suisse"
Zillow Group,2020-05-12,$48.00,Z,ADD-ON,"Morgan Stanley, Goldman Sachs, Citigroup, Credit Suisse Credit Suisse"
Protagonist Therapeutics,2020-05-11,$14.00,PTGX,ADD-ON,"Jeffries, BMO Capital Markets BMO Capital Markets"
Ayala Pharmaceuticals,2020-05-07,$15.00,AYLA,IPO,"Citigroup, Jefferies Citigroup"
Kingsoft Cloud Holdings,2020-05-07,$17.00,KC,IPO,"JP Morgan, UBS, Credit Suisse, CICC Credit Suisse"
Keros Therapeutics,2020-04-08,$16.00,KROS,IPO,"Jefferies, SVB Leerink, Piper Jaffray Jefferies"
Zentalis Pharmaceuticals,2020-04-02,$18.00,ZNTL,IPO,"Morgan Stanley, Jefferies, SVB Leerink, Guggenheim Securities Guggenheim Securities"
Evoqua Water Technologies,2020-03-05,$19.50,AQUA,ADD-ON,"Credit Suisse, RBC Capital Markets, JP Morgan Credit Suisse"
eHealth,2020-03-03,$115.00,EHTH,ADD-ON,"RBC Capital Markets, Credit Suisse Credit Suisse"
GFL Environmental,2020-03-02,$19.00,GFL,IPO,"JP Morgan, BMO Capital Markets, Raymond James, Stifel, AMTD Global Markets BMO Capital Markets"
Deciphera Pharmaceuticals,2020-02-13,$55.00,DCPH,ADD-ON,"JP Morgan, Piper Jaffray, Jefferies SunTrust Robinson Humphrey"
TFI International,2020-02-12,$33.35,TFII,ADD-ON,"Morgan Stanley, BofA Merrill Lynch, JP Morgan, Credit Suisse, RBC Capital Markets, UBS Credit Suisse"
OneWater Marine,2020-02-06,$12.00,ONEW,IPO,"Raymond James, Baird, SunTrust Robinson Humphrey SunTrust Robinson Humphrey"
RAPT Therapeutics,2020-02-06,$30.00,RAPT,ADD-ON,"BMO Capital Markets, Wells Fargo, UBS, Cantor Fitzgerald BMO Capital Markets"
Casper Sleep,2020-02-05,$12.00,CSPR,IPO,"Morgan Stanley, Goldman Sachs, Jefferies Guggenheim Securities"
Petroleo Brasileiro,2020-02-05,$14.16,PBR,ADD-ON,"Credit Suisse, BofA Merrill Lynch Credit Suisse"
PPD,2020-02-05,$27.00,PPD,IPO,"Barclays, JP Morgan, Morgan Stanley, Goldman Sachs Credit Suisse"
Arcutis Biotherapeutics,2020-01-30,$17.00,ARQT,IPO,"Goldman Sachs, Cowen and Company, Guggenheim Securities, Cantor Fitzgerald Guggenheim Securities"
Reynolds Consumer Products,2020-01-30,$26.00,REYN,IPO,"Credit Suisse, Goldman Sachs, JP Morgan Credit Suisse"
Adaptive Biotechnologies,2020-01-23,$26.50,ADPT,ADD-ON,"JP Morgan, Goldman Sachs, BofA Merrill Lynch Guggenheim Securities"
I-Mab,2020-01-16,$14.00,IMAB,IPO,"Jefferies, CICC Jefferies"
Lizhi,2020-01-16,$11.00,LIZI,IPO,Citigroup Citigroup
Phoenix Tree Holdings,2020-01-16,$13.50,DNK,IPO,"Citigroup, Credit Suisse, JP Morgan Credit Suisse"
Luckin Coffee,2020-01-09,$42.00,LK,ADD-ON,"Credit Suisse, Morgan Stanley, CICC, Haitong International Credit Suisse"
Mirati Therapeutics,2020-01-09,$97.50,MRTX,ADD-ON,"Goldman Sachs, SVB Leerink, Cowen and Company Credit Suisse"
Apellis Pharmaceuticals,2020-01-08,$37.00,APLS,ADD-ON,"Citigroup, JP Morgan, Evercore Cantor Fitzgerald"
Mirum Pharmaceuticals,2020-01-08,$20.00,MIRM,ADD-ON,"Citigroup, Evercore, Guggenheim Securities Guggenheim Securities"
Osmotica Pharmaceuticals,2020-01-08,$5.00,OSMT,ADD-ON,"Jefferies, SVB Leerink SunTrust Robinson Humphrey"
Intra-Cellular Therapies,2020-01-07,$29.50,ITCI,ADD-ON,"JP Morgan, SVB Leerink, Evercore Cantor Fitzgerald"
